	Name	X_1_1	exponent_1_1	X_1_2	exponent_1_2	X_2_1	exponent_2_1	X_2_2	exponent_2_2	dx	dc	dd
34	('dudy^-2_0^0', 'dudy^2_yplus^2')	dudy	-2	0	0	dudy	2	yplus	2	0.09882782179812225	0.011585311624543314	0.0005090567897505937
35	('dudy^-2_0^0', 'dudy^-2_k^-2')	dudy	-2	0	0	dudy	-2	k	-2	0.03901994928701563	0.01435852223786235	4.912157607528817e-05
36	('dudy^-2_0^0', 'dudy^-2_k^-1')	dudy	-2	0	0	dudy	-2	k	-1	0.026591163833001544	0.01419088239420469	2.1431409687085995e-05
37	('dudy^-2_0^0', 'dudy^-2_k^1')	dudy	-2	0	0	dudy	-2	k	1	0.03307425063277156	0.014283620435435965	3.0937461823452044e-05
38	('dudy^-2_0^0', 'dudy^-2_k^2')	dudy	-2	0	0	dudy	-2	k	2	0.05376528804399705	0.014625719541006553	8.447505656109625e-05
39	('dudy^-2_0^0', 'dudy^-1_k^-2')	dudy	-2	0	0	dudy	-1	k	-2	0.056475028009645246	0.013525111048408608	8.424686712004082e-05
40	('dudy^-2_0^0', 'dudy^-1_k^-1')	dudy	-2	0	0	dudy	-1	k	-1	0.03681302441503033	0.013506996504034157	3.326372932568201e-05
41	('dudy^-2_0^0', 'dudy^-1_k^1')	dudy	-2	0	0	dudy	-1	k	1	0.0413280623426794	0.014370997373855773	3.8807408811610354e-05
42	('dudy^-2_0^0', 'dudy^-1_k^2')	dudy	-2	0	0	dudy	-1	k	2	0.047316501623508575	0.014581303327333761	5.46208110637794e-05
43	('dudy^-2_0^0', 'dudy^1_k^-2')	dudy	-2	0	0	dudy	1	k	-2	0.035280839817269316	0.012682603329498231	1.0645295274158474e-05
44	('dudy^-2_0^0', 'dudy^1_k^-1')	dudy	-2	0	0	dudy	1	k	-1	0.03701228801603808	0.012570906033406352	1.6652586799853147e-05
45	('dudy^-2_0^0', 'dudy^1_k^1')	dudy	-2	0	0	dudy	1	k	1	0.03200770301840836	0.012591677340751738	1.9838879870792377e-05
46	('dudy^-2_0^0', 'dudy^1_k^2')	dudy	-2	0	0	dudy	1	k	2	0.02933899396675156	0.012603738291566576	1.1203748585453554e-05
47	('dudy^-2_0^0', 'dudy^2_k^-2')	dudy	-2	0	0	dudy	2	k	-2	0.03765798988757437	0.013208791583774488	1.2134667290765195e-05
48	('dudy^-2_0^0', 'dudy^2_k^-1')	dudy	-2	0	0	dudy	2	k	-1	0.04186528279836953	0.013132182411697634	2.2255843904606186e-05
49	('dudy^-2_0^0', 'dudy^2_k^1')	dudy	-2	0	0	dudy	2	k	1	0.03592828907257511	0.01283030342433835	2.175021482741107e-05
50	('dudy^-2_0^0', 'dudy^2_k^2')	dudy	-2	0	0	dudy	2	k	2	0.034529823905865294	0.012751014604778295	2.2225496574126526e-05
51	('dudy^-2_0^0', 'dudy^-2_eps^-2')	dudy	-2	0	0	dudy	-2	eps	-2	0.03730267596706573	0.014510634899789217	5.604477906618127e-05
52	('dudy^-2_0^0', 'dudy^-2_eps^-1')	dudy	-2	0	0	dudy	-2	eps	-1	0.029692645505684036	0.014389997076450283	3.072567633544244e-05
53	('dudy^-2_0^0', 'dudy^-2_eps^1')	dudy	-2	0	0	dudy	-2	eps	1	0.052457065358218764	0.013942193966536287	6.589120453935392e-05
54	('dudy^-2_0^0', 'dudy^-2_eps^2')	dudy	-2	0	0	dudy	-2	eps	2	0.1515153709177737	0.016997284969613426	0.0005145959369809609
55	('dudy^-2_0^0', 'dudy^-1_eps^-2')	dudy	-2	0	0	dudy	-1	eps	-2	0.04672596561158345	0.0145852531288172	7.744796094902973e-05
56	('dudy^-2_0^0', 'dudy^-1_eps^-1')	dudy	-2	0	0	dudy	-1	eps	-1	0.03859008690889039	0.014370631205147973	4.4056518374610055e-05
57	('dudy^-2_0^0', 'dudy^-1_eps^1')	dudy	-2	0	0	dudy	-1	eps	1	0.11439088131390229	0.015878574496823665	0.00023642619950508406
58	('dudy^-2_0^0', 'dudy^-1_eps^2')	dudy	-2	0	0	dudy	-1	eps	2	0.054148659121093394	0.01549554986390667	3.765463283755039e-05
59	('dudy^-2_0^0', 'dudy^1_eps^-2')	dudy	-2	0	0	dudy	1	eps	-2	0.10466581714033046	0.014350179244301977	0.0002566174186684105
60	('dudy^-2_0^0', 'dudy^1_eps^-1')	dudy	-2	0	0	dudy	1	eps	-1	0.04509008674679167	0.013011721389702656	2.2558911351913802e-05
61	('dudy^-2_0^0', 'dudy^1_eps^1')	dudy	-2	0	0	dudy	1	eps	1	0.03973113092099193	0.012723910192319	2.4450986039649784e-05
62	('dudy^-2_0^0', 'dudy^1_eps^2')	dudy	-2	0	0	dudy	1	eps	2	0.04225451051824239	0.012872959640151307	2.5231447454009737e-05
63	('dudy^-2_0^0', 'dudy^2_eps^-2')	dudy	-2	0	0	dudy	2	eps	-2	0.039278281329092356	0.012677080084542068	2.8015818451646858e-05
64	('dudy^-2_0^0', 'dudy^2_eps^-1')	dudy	-2	0	0	dudy	2	eps	-1	0.04024948552209195	0.012691022035745623	2.8419912240809615e-05
65	('dudy^-2_0^0', 'dudy^2_eps^1')	dudy	-2	0	0	dudy	2	eps	1	0.04505999459104046	0.013178853565470912	3.246619620067212e-05
66	('dudy^-2_0^0', 'dudy^2_eps^2')	dudy	-2	0	0	dudy	2	eps	2	0.04660710863581108	0.01320669655442902	3.537441815786192e-05
67	('dudy^-2_0^0', 'dudy^-2_u^-2')	dudy	-2	0	0	dudy	-2	u	-2	0.040767752329283834	0.014492040991045145	3.8879013999827276e-05
68	('dudy^-2_0^0', 'dudy^-2_u^-1')	dudy	-2	0	0	dudy	-2	u	-1	0.02433689169512563	0.014229551346790128	1.4346568419491251e-05
69	('dudy^-2_0^0', 'dudy^-2_u^1')	dudy	-2	0	0	dudy	-2	u	1	0.022393414526910245	0.01409892397957244	1.347389936469844e-05
70	('dudy^-2_0^0', 'dudy^-2_u^2')	dudy	-2	0	0	dudy	-2	u	2	0.031075349726721838	0.014237590728547078	2.4807524804982537e-05
71	('dudy^-2_0^0', 'dudy^-1_u^-2')	dudy	-2	0	0	dudy	-1	u	-2	0.06489453509592615	0.014784532545725754	8.486537871068438e-05
72	('dudy^-2_0^0', 'dudy^-1_u^-1')	dudy	-2	0	0	dudy	-1	u	-1	0.03406115225639799	0.014088915782959194	2.1747717713892546e-05
73	('dudy^-2_0^0', 'dudy^-1_u^1')	dudy	-2	0	0	dudy	-1	u	1	0.029834649956005984	0.013538539736487639	1.7260766750737183e-05
74	('dudy^-2_0^0', 'dudy^-1_u^2')	dudy	-2	0	0	dudy	-1	u	2	0.046194252108977395	0.013421499727725827	4.2488225760938336e-05
75	('dudy^-2_0^0', 'dudy^1_u^-2')	dudy	-2	0	0	dudy	1	u	-2	0.04043415257598879	0.012764524372282739	2.0389735490509226e-05
76	('dudy^-2_0^0', 'dudy^1_u^-1')	dudy	-2	0	0	dudy	1	u	-1	0.0401399707549967	0.012635862719594614	2.2021719252344435e-05
77	('dudy^-2_0^0', 'dudy^1_u^1')	dudy	-2	0	0	dudy	1	u	1	0.030364813981471662	0.012597456873810364	1.8070652999802324e-05
78	('dudy^-2_0^0', 'dudy^1_u^2')	dudy	-2	0	0	dudy	1	u	2	0.030001022745830875	0.012622840334202415	1.9031741369680017e-05
79	('dudy^-2_0^0', 'dudy^2_u^-2')	dudy	-2	0	0	dudy	2	u	-2	0.0431982246278523	0.01321934500197992	2.369652860320288e-05
80	('dudy^-2_0^0', 'dudy^2_u^-1')	dudy	-2	0	0	dudy	2	u	-1	0.04391947838153633	0.013178306071418391	2.6652151130620522e-05
81	('dudy^-2_0^0', 'dudy^2_u^1')	dudy	-2	0	0	dudy	2	u	1	0.03639606056878546	0.012748944572079694	2.1379177438315258e-05
82	('dudy^-2_0^0', 'dudy^2_u^2')	dudy	-2	0	0	dudy	2	u	2	0.03179385096766613	0.01267374253570445	2.1819799375840795e-05
83	('dudy^-2_0^0', 'yplus^-2_k^-2')	dudy	-2	0	0	yplus	-2	k	-2	0.035093477583663574	0.013109630824276186	1.0750590888209414e-05
84	('dudy^-2_0^0', 'yplus^-2_k^-1')	dudy	-2	0	0	yplus	-2	k	-1	0.03590489142974889	0.012739950700359463	1.0922360601460636e-05
85	('dudy^-2_0^0', 'yplus^-2_k^1')	dudy	-2	0	0	yplus	-2	k	1	0.03918005162660816	0.012665422758288664	2.5403831577915693e-05
86	('dudy^-2_0^0', 'yplus^-2_k^2')	dudy	-2	0	0	yplus	-2	k	2	0.031486672305366496	0.012702330717384983	1.7194673198955662e-05
87	('dudy^-2_0^0', 'yplus^-1_k^-2')	dudy	-2	0	0	yplus	-1	k	-2	0.03479816459727903	0.012960962412245005	9.506152409068032e-06
88	('dudy^-2_0^0', 'yplus^-1_k^-1')	dudy	-2	0	0	yplus	-1	k	-1	0.03564101996695349	0.012554971080126084	1.039157974850064e-05
89	('dudy^-2_0^0', 'yplus^-1_k^1')	dudy	-2	0	0	yplus	-1	k	1	0.03149893939044759	0.012475435546246973	1.5698385904003683e-05
90	('dudy^-2_0^0', 'yplus^-1_k^2')	dudy	-2	0	0	yplus	-1	k	2	0.030529626216970546	0.012505705975831923	1.39181189107262e-05
91	('dudy^-2_0^0', 'yplus^1_k^-2')	dudy	-2	0	0	yplus	1	k	-2	0.11829645692923582	0.01338551785074287	0.0003064324729160132
92	('dudy^-2_0^0', 'yplus^1_k^-1')	dudy	-2	0	0	yplus	1	k	-1	0.11588732730507952	0.013058550671855707	0.00026252517225638727
93	('dudy^-2_0^0', 'yplus^1_k^1')	dudy	-2	0	0	yplus	1	k	1	0.0964167398743965	0.012531525764932943	0.0001323555803185399
94	('dudy^-2_0^0', 'yplus^1_k^2')	dudy	-2	0	0	yplus	1	k	2	0.07633005816449447	0.01262596796390494	6.48598800681361e-05
95	('dudy^-2_0^0', 'yplus^2_k^-2')	dudy	-2	0	0	yplus	2	k	-2	0.1026789811378461	0.01498368613860665	0.0003069518525692779
96	('dudy^-2_0^0', 'yplus^2_k^-1')	dudy	-2	0	0	yplus	2	k	-1	0.10445554258473908	0.014816427802022877	0.0002904462344763814
97	('dudy^-2_0^0', 'yplus^2_k^1')	dudy	-2	0	0	yplus	2	k	1	0.10458753304101272	0.014164416571396516	0.0002348486479167505
98	('dudy^-2_0^0', 'yplus^2_k^2')	dudy	-2	0	0	yplus	2	k	2	0.10152132646737996	0.013736632134502774	0.00019389967280346695
99	('dudy^-2_0^0', 'yplus^-2_eps^-2')	dudy	-2	0	0	yplus	-2	eps	-2	0.07440322718741482	0.015204999850378072	7.994335212956545e-05
100	('dudy^-2_0^0', 'yplus^-2_eps^-1')	dudy	-2	0	0	yplus	-2	eps	-1	0.03854872694134007	0.012511793155280903	1.784754034190526e-05
101	('dudy^-2_0^0', 'yplus^-2_eps^1')	dudy	-2	0	0	yplus	-2	eps	1	0.040413838234011755	0.012917400512386499	1.5673401113072828e-05
102	('dudy^-2_0^0', 'yplus^-2_eps^2')	dudy	-2	0	0	yplus	-2	eps	2	0.03983988269372826	0.013159868821147697	1.4637093222263429e-05
103	('dudy^-2_0^0', 'yplus^-1_eps^-2')	dudy	-2	0	0	yplus	-1	eps	-2	0.02964603347352068	0.016371002661247473	2.817813751104975e-05
